Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
XGBoost_grid_1_AutoML_1_20230507_112409_model_19,xgboost,0.8293509437894158,23765.521127469412,6873.869859477358,25.5538982144635,XGBoost,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_2,gbm,0.8292738790497135,23770.886750384103,7783.249886620309,28.934556435660006,GBM,Without social indicators
XGBoost_grid_1_AutoML_2_20230507_122424_model_22,xgboost,0.8292279342629343,23774.085074252205,7534.508258075257,28.009849045575173,XGBoost,Without retrofit
GBM_3_AutoML_2_20230507_122424,gbm,0.8287187737074664,23809.500166984544,7517.1146889112815,27.94518772595626,GBM,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_15,gbm,0.8287066126830873,23810.345393221338,7505.924664166204,27.903588341737663,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_10,gbm,0.8284469906902079,23828.382717552468,7362.234007226896,27.369412324899944,GBM,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_5,gbm,0.828366572682603,23833.967016415878,6476.5073656284785,24.07668655208971,GBM,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_2,gbm,0.8280483485540865,23856.051965562547,7916.43313736222,29.42967073123222,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_5,gbm,0.8279305344096752,23864.22315516523,6787.740977275538,25.233710498649202,GBM,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_24,xgboost,0.8279067130341705,23865.874984980615,6952.470217024835,25.846098325528942,XGBoost,All predictors
XGBoost_grid_1_AutoML_4_20230507_142453_model_24,xgboost,0.8277592061483534,23876.100912216334,7367.125178240165,27.387595457367937,XGBoost,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_39,gbm,0.8277440756077812,23877.14959055821,6866.6219937284295,25.526953970914164,GBM,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_18,gbm,0.827662025903081,23882.83554836224,7590.835648239409,28.219248470406672,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_32,gbm,0.8276327278136296,23884.865547030957,7401.580595481328,27.515684909614922,GBM,Without stand alone
XGBoost_grid_1_AutoML_4_20230507_142453_model_5,xgboost,0.8273032026653273,23907.685731062455,8005.414194149979,29.76046152515957,XGBoost,Without stand alone
